time,AQI,CO,CO2,NO2,O3,PM10,PM25,SO2
2015-01-01 00:00:00,,0.29,,9.14,54.99,30.02,33.84,7.76
2015-01-01 01:00:00,,0.27,,7.28,59.36,30.21,32.11,9.55
2015-01-01 02:00:00,,0.18,,8.11,59.57,29.4,30.34,8.11
2015-01-01 03:00:00,,0.2,,9.51,57.18,28.83,29.2,8.11
2015-01-01 04:00:00,,0.19,,9.12,57.91,27.69,27.28,8.75
2015-01-01 05:00:00,,0.2,,8.77,57.04,27.28,26.48,9.2
2015-01-01 06:00:00,,0.18,,4.84,62.65,26.04,24.26,9.14
2015-01-01 07:00:00,,0.18,,5.29,64.54,25.77,24.3,10.0
2015-01-01 08:00:00,,0.17,,3.75,66.81,24.47,22.54,11.14
2015-01-01 09:00:00,,0.17,,4.09,68.17,21.94,20.48,12.0
2015-01-01 10:00:00,,0.15,,3.38,69.43,20.63,18.48,13.26
2015-01-01 11:00:00,,0.13,,4.59,71.38,19.44,16.14,11.97
2015-01-01 12:00:00,,0.13,,5.51,72.82,20.62,16.51,12.79
2015-01-01 13:00:00,,0.13,,6.31,74.82,22.52,16.13,14.92
2015-01-01 14:00:00,,0.14,,7.73,76.99,24.35,18.15,14.01
2015-01-01 15:00:00,,0.15,,10.12,77.38,26.72,21.1,13.89
2015-01-01 16:00:00,,0.18,,14.87,69.18,31.17,25.98,12.74
2015-01-01 17:00:00,,0.17,,11.54,68.08,32.08,26.58,12.11
2015-01-01 18:00:00,,0.14,,11.64,68.17,30.53,24.27,11.4
2015-01-01 19:00:00,,0.68,,22.09,51.94,39.52,36.1,11.56
2015-01-01 20:00:00,,1.2,,37.26,22.57,58.96,54.25,10.25
2015-01-01 21:00:00,,1.12,,38.06,19.77,60.74,50.8,10.27
2015-01-01 22:00:00,,1.14,,32.57,22.63,69.43,56.54,10.25
2015-01-01 23:00:00,,,,,,106.19,,
2015-01-02 00:00:00,,3.09,,43.25,5.81,142.95,134.38,8.91
2015-01-02 01:00:00,,2.41,,38.07,6.2,124.15,107.58,7.74
2015-01-02 02:00:00,,1.37,,30.72,10.99,117.24,91.4,8.14
2015-01-02 03:00:00,,0.76,,21.35,21.61,107.99,76.05,7.87
2015-01-02 04:00:00,,0.97,,23.23,20.69,120.14,83.12,7.5
2015-01-02 05:00:00,,2.62,,35.16,7.35,191.26,138.15,8.96
2015-01-02 06:00:00,,1.21,,25.92,9.54,126.57,83.65,7.65
2015-01-02 07:00:00,,1.1,,25.24,25.3,122.15,75.26,9.89
2015-01-02 08:00:00,,2.63,,41.76,4.97,183.53,119.69,13.22
2015-01-02 09:00:00,,2.7,,50.33,6.94,202.51,131.92,15.92
2015-01-02 10:00:00,,1.85,,48.69,17.68,176.54,104.44,17.88
2015-01-02 11:00:00,,1.99,,63.32,17.92,217.11,120.59,19.54
2015-01-02 12:00:00,,1.65,,60.68,37.73,227.52,119.48,19.99
2015-01-02 13:00:00,,2.27,,74.22,45.69,279.29,150.12,19.23
