time,AQI,CO,CO2,NO2,O3,PM10,PM25,SO2
2015-01-01 00:00:00,,1.94,,0.55,,60.91,,3.03
2015-01-01 01:00:00,,1.86,,-0.13,,73.87,,2.93
2015-01-01 02:00:00,,1.89,,-0.27,,66.72,,2.66
2015-01-01 03:00:00,,1.79,,-0.94,,49.14,,2.53
2015-01-01 04:00:00,,1.74,,,,33.91,,2.26
2015-01-01 05:00:00,,1.67,,,,32.6,,2.18
2015-01-01 06:00:00,,1.66,,,,26.57,,2.0
2015-01-01 07:00:00,,1.66,,,,25.24,,2.02
2015-01-01 08:00:00,,1.68,,,,16.72,,1.81
2015-01-01 09:00:00,,1.71,,,,1.08,,2.1
2015-01-01 10:00:00,,1.75,,,,1.08,,3.8
2015-01-01 11:00:00,,1.88,,,,36.43,,4.68
2015-01-01 12:00:00,,1.93,,,,11.24,,5.45
2015-01-01 13:00:00,,1.97,,-0.92,,53.62,,7.58
2015-01-01 14:00:00,,2.0,,-0.82,,67.56,,7.87
2015-01-01 15:00:00,,2.12,,0.11,,90.93,,7.79
2015-01-01 16:00:00,,2.04,,0.44,,99.29,,7.61
2015-01-01 17:00:00,,2.02,,1.28,,122.15,,6.06
2015-01-01 18:00:00,,2.12,,2.94,,93.85,,4.58
2015-01-01 19:00:00,,2.66,,9.28,,145.36,,3.51
2015-01-01 20:00:00,,2.54,,6.13,,175.37,,3.06
2015-01-01 21:00:00,,2.52,,6.17,,131.51,,2.77
2015-01-01 22:00:00,,2.62,,7.24,,132.18,,2.58
2015-01-01 23:00:00,,,,,,158.2,,
2015-01-02 00:00:00,,4.22,,13.14,,184.22,,2.18
2015-01-02 01:00:00,,5.03,,13.14,,329.67,,2.26
2015-01-02 02:00:00,,3.67,,7.7,,279.12,,1.84
2015-01-02 03:00:00,,2.92,,3.86,,246.98,,1.78
2015-01-02 04:00:00,,2.7,,3.48,,174.96,,1.76
2015-01-02 05:00:00,,4.25,,7.7,,243.06,,1.7
2015-01-02 06:00:00,,4.15,,8.17,,283.9,,1.68
2015-01-02 07:00:00,,2.66,,4.97,,196.73,,1.65
2015-01-02 08:00:00,,4.3,,9.23,,232.06,,1.94
2015-01-02 09:00:00,,3.97,,12.49,,228.0,,2.05
2015-01-02 10:00:00,,4.11,,20.42,,155.96,,2.53
2015-01-02 11:00:00,,3.27,,21.96,,384.5,,2.05
