time,AQI,CO,NO2,O3,PM10,PM25,SO2
2015-01-01 00:00:00,,0.15,9.21,57.36,28.24,27.59,
2015-01-01 01:00:00,,0.12,8.04,59.97,27.29,26.13,
2015-01-01 02:00:00,,0.15,9.94,59.12,27.77,25.99,
2015-01-01 03:00:00,,0.14,8.9,59.48,27.76,25.64,
2015-01-01 04:00:00,,0.11,7.69,60.22,25.33,22.56,
2015-01-01 05:00:00,,0.11,8.94,59.31,24.09,20.79,
2015-01-01 06:00:00,,0.08,6.31,63.06,22.69,19.52,
2015-01-01 07:00:00,,0.08,5.46,64.93,23.22,19.84,
2015-01-01 08:00:00,,0.08,5.68,65.14,24.98,22.2,
2015-01-01 09:00:00,,0.11,5.08,66.44,25.48,22.92,
2015-01-01 10:00:00,,0.11,4.64,67.99,19.15,17.7,
2015-01-01 11:00:00,,0.2,4.33,70.61,17.25,15.98,
2015-01-01 12:00:00,,0.09,4.48,72.32,18.4,17.51,
2015-01-01 13:00:00,,0.1,4.53,75.84,17.49,16.68,
2015-01-01 14:00:00,,0.12,5.01,79.21,19.94,19.29,
2015-01-01 15:00:00,,0.26,7.4,80.32,23.01,21.97,
2015-01-01 16:00:00,,0.19,10.95,76.15,28.69,26.26,
2015-01-01 17:00:00,,0.24,13.84,69.24,40.0,35.38,
2015-01-01 18:00:00,,0.29,15.11,66.26,34.27,27.79,
2015-01-01 19:00:00,,0.32,18.4,58.47,33.46,26.95,
2015-01-01 20:00:00,,1.31,30.99,44.66,70.6,59.28,
2015-01-01 21:00:00,,2.62,53.11,12.41,140.94,117.06,
2015-01-01 22:00:00,,2.91,52.6,8.08,177.82,144.87,
2015-01-01 23:00:00,,,,,172.155,,
2015-01-02 00:00:00,,2.63,45.62,8.34,166.49,136.46,
2015-01-02 01:00:00,,2.49,41.21,8.41,156.88,128.56,
2015-01-02 02:00:00,,1.63,30.52,18.53,121.92,96.8,
2015-01-02 03:00:00,,1.29,24.65,25.44,114.33,89.29,
2015-01-02 04:00:00,,0.49,15.51,41.3,79.41,60.51,
2015-01-02 05:00:00,,0.74,18.45,38.31,105.03,78.96,
