time,AQI,CO,NO2,O3,PM10,PM25,SO2
2016-06-13 12:00:00,32.1,0.34,31.65,77.04,4.83,,1.01
2016-06-13 13:00:00,2.835833,0.38,35.37,68.06,10.35,,1.01
2016-06-13 14:00:00,35.65,0.37,38.03,85.56,8.59,,0.98
2016-06-13 15:00:00,40.9,0.35,40.19,98.16,5.43,,1.41
2016-06-13 16:00:00,4.639166,0.32,42.12,111.34,16.23,,1.28
2016-06-13 17:00:00,5.124166000000001,0.3,43.8,122.98,9.81,,1.06
2016-06-13 18:00:00,4.679166,0.3,42.84,112.3,28.31,,0.69
2016-06-13 19:00:00,48.95,0.3,41.54,117.48,14.23,,
2016-06-13 20:00:00,48.85,0.3,41.98,117.24,7.63,9.17,0.8
2016-06-13 21:00:00,5.206666,0.28,42.67,124.96,6.16,,0.85
2016-06-13 22:00:00,4.056666000000001,0.32,41.77,97.36,17.23,,7.16
2016-06-13 23:00:00,3.201666,0.36,37.67,76.84,43.19,1.8283880000000001,1.09
2016-06-14 00:00:00,3.099166,0.37,37.17,74.38,29.8,106.66,2.18
2016-06-14 01:00:00,2.914166,0.27,33.62,69.94,38.0,,1.22
2016-06-14 02:00:00,2.4508330000000003,0.36,34.21,58.82,4.72,,0.88
2016-06-14 03:00:00,2.380833,0.35,31.29,57.14,6.05,108.76,0.8
2016-06-14 04:00:00,1.761666,0.32,29.24,42.28,4.76,,0.69
2016-06-14 05:00:00,9.858333,0.32,21.28,23.66,13.01,,0.66
2016-06-14 06:00:00,1.180833,0.34,19.25,28.34,16.27,,0.61
2016-06-14 07:00:00,1.8627770000000001,0.3,19.35,30.28,33.53,50.86,0.77
2016-06-14 08:00:00,15.625,0.3,18.14,37.5,20.71,,0.56
2016-06-14 09:00:00,1.541666,0.03,19.9,37.0,26.49,0.0,0.66
2016-06-14 10:00:00,1.913888,0.46,21.75,22.0,34.45,46.3,0.85
2016-06-14 11:00:00,2.5344439999999997,0.42,21.41,26.08,45.62,47.12,1.46
2016-06-14 12:00:00,2.812777,0.37,22.5,50.08,50.63,,3.22
2016-06-14 13:00:00,3.3616660000000005,0.35,31.59,80.68,24.57,,3.4
2016-06-14 14:00:00,40.9,0.35,33.58,98.16,16.02,,2.77
2016-06-14 15:00:00,43.925,0.32,35.93,105.42,13.26,1.46,2.1
2016-06-14 16:00:00,45.25,0.19,36.75,108.6,15.84,1.73,2.5
