time,AQI,CO,NO2,O3,PM10,PM25,SO2
2015-01-01 00:00:00,,1.93,0.86,55.38,27.95,,3.67
2015-01-01 01:00:00,,1.95,0.97,56.22,29.47,,4.07
2015-01-01 02:00:00,,1.87,1.01,56.92,25.83,,4.92
2015-01-01 03:00:00,,1.97,0.86,52.18,29.1,,4.15
2015-01-01 04:00:00,,1.96,1.03,57.16,23.41,,4.2
2015-01-01 05:00:00,,1.95,0.92,55.02,24.71,,4.23
2015-01-01 06:00:00,,1.86,0.78,57.7,23.07,,4.23
2015-01-01 07:00:00,,1.93,0.94,58.48,20.35,,5.29
2015-01-01 08:00:00,,1.94,1.13,55.4,18.57,,11.23
2015-01-01 09:00:00,,1.86,0.92,61.16,10.08,,6.86
2015-01-01 10:00:00,,1.77,1.03,63.06,13.07,,5.88
2015-01-01 11:00:00,,1.68,0.92,66.2,28.7,,5.0
2015-01-01 12:00:00,,1.73,0.84,66.74,6.53,,5.51
2015-01-01 13:00:00,,1.67,0.82,68.44,23.41,,6.76
2015-01-01 14:00:00,,1.61,0.8,70.84,34.63,,6.62
2015-01-01 15:00:00,,1.5,0.74,69.2,45.67,,5.91
2015-01-01 16:00:00,,1.46,0.67,62.16,62.97,,5.69
2015-01-01 17:00:00,,1.1,0.65,63.46,62.52,,5.56
2015-01-01 18:00:00,,2.78,0.69,51.58,48.58,,8.06
2015-01-01 19:00:00,,4.11,0.8,34.28,167.41,,8.83
2015-01-01 20:00:00,,4.73,0.71,26.46,131.54,,7.16
2015-01-01 21:00:00,,4.07,0.82,33.6,138.19,,7.42
2015-01-01 22:00:00,,5.14,0.82,24.28,112.24,,6.52
2015-01-01 23:00:00,,,,,195.39499999999998,,
2015-01-02 00:00:00,,9.7,0.95,5.84,278.55,,6.04
2015-01-02 01:00:00,,8.6,0.78,4.48,275.89,,2.37
2015-01-02 02:00:00,,10.01,1.05,5.58,295.02,,4.68
2015-01-02 03:00:00,,9.31,1.18,4.04,301.54,,4.36
2015-01-02 04:00:00,,8.03,0.97,4.6,255.62,,4.58
2015-01-02 05:00:00,,5.97,1.17,6.4,192.81,,3.22
2015-01-02 06:00:00,,7.75,0.92,3.82,180.82,,4.02
2015-01-02 07:00:00,,8.11,0.88,3.16,239.35,,0.69
2015-01-02 08:00:00,,7.84,0.84,5.56,241.94,,5.91
2015-01-02 09:00:00,,7.52,1.07,12.44,266.78,,6.01
2015-01-02 10:00:00,,6.79,0.8,22.08,260.22,,8.03
2015-01-02 11:00:00,,6.89,1.17,39.82,294.07,,8.64
2015-01-02 12:00:00,,7.61,0.94,59.96,369.04,,8.91
2015-01-02 13:00:00,,6.21,0.69,68.58,348.4,,8.09
2015-01-02 14:00:00,,5.15,0.76,68.36,267.84,,8.03
2015-01-02 15:00:00,,5.73,0.65,63.78,269.68,,10.0
2015-01-02 16:00:00,,5.35,0.67,36.0,232.49,,9.12
2015-01-02 17:00:00,,10.37,0.11,6.86,323.38,,9.66
2015-01-02 18:00:00,,13.54,0.76,2.18,457.18,,9.02
2015-01-02 19:00:00,,19.33,0.73,6.96,651.03,,8.54
2015-01-02 20:00:00,,14.42,0.73,4.98,542.11,,8.67
2015-01-02 21:00:00,,20.07,0.71,13.06,585.53,,8.41
2015-01-02 22:00:00,,17.48,0.69,8.52,717.61,,6.76
2015-01-02 23:00:00,,,,,569.26,,
2015-01-03 00:00:00,,12.16,0.65,6.48,420.91,,-0.85
2015-01-03 01:00:00,,15.05,0.69,7.7,573.4,,5.83
2015-01-03 02:00:00,,12.16,0.92,0.22,487.23,,4.95
2015-01-03 03:00:00,,11.04,0.69,4.2,427.6,,4.5
2015-01-03 04:00:00,,10.32,0.73,3.36,390.79,,4.39
2015-01-03 05:00:00,,8.87,0.76,3.26,385.58,,4.47
2015-01-03 06:00:00,,8.21,0.82,2.2,338.49,,4.71
2015-01-03 07:00:00,,8.42,0.71,1.74,343.33,,4.58
2015-01-03 08:00:00,,8.57,0.63,3.04,323.14,,5.37
2015-01-03 09:00:00,,8.02,0.71,6.38,315.29,,5.83
2015-01-03 10:00:00,,9.28,5.12,18.32,405.55,,7.02
2015-01-03 11:00:00,,8.11,0.65,27.26,455.89,,8.25
2015-01-03 12:00:00,,8.77,0.69,36.22,405.41,,8.51
2015-01-03 13:00:00,,7.66,0.65,46.2,413.1,,9.6
2015-01-03 14:00:00,,8.53,0.61,35.48,403.22,,10.05
2015-01-03 15:00:00,,11.59,5.21,24.06,537.67,,14.42
2015-01-03 16:00:00,,12.42,0.71,17.22,632.03,,12.02
2015-01-03 17:00:00,,12.63,0.67,5.74,629.06,,9.63
2015-01-03 18:00:00,,19.62,0.73,10.36,652.18,,8.06
2015-01-03 19:00:00,,23.11,0.71,10.74,975.28,,7.45
2015-01-03 20:00:00,,23.2,0.84,15.14,980.65,,7.95
2015-01-03 21:00:00,,23.2,0.69,13.84,994.31,,7.66
2015-01-03 22:00:00,,22.77,0.65,7.64,991.38,,6.68
2015-01-03 23:00:00,,,,,992.8399999999999,,
2015-01-04 00:00:00,,23.17,0.8,10.14,994.3,,7.16
2015-01-04 01:00:00,,23.18,0.69,7.66,958.2,,7.26
2015-01-04 02:00:00,,21.44,0.5,5.52,861.99,,7.1
2015-01-04 03:00:00,,19.55,0.84,5.14,703.73,,6.68
2015-01-04 04:00:00,,17.97,0.73,5.2,678.16,,5.8
2015-01-04 05:00:00,,15.14,0.71,3.54,604.82,,5.37
2015-01-04 06:00:00,,16.79,0.88,3.76,567.98,,5.53
2015-01-04 07:00:00,,17.2,,3.32,612.18,,5.56
2015-01-04 08:00:00,,16.79,0.73,3.74,586.03,,5.75
2015-01-04 09:00:00,,14.72,0.71,3.26,606.87,,5.37
2015-01-04 10:00:00,,12.6,0.73,7.86,553.31,,5.56
2015-01-04 11:00:00,,10.42,0.69,11.62,540.66,,6.04
2015-01-04 12:00:00,,7.59,0.69,13.4,397.22,,5.64
2015-01-04 13:00:00,,5.22,0.71,16.64,203.53,,6.2
