time,AQI,CO,NO2,O3,PM10,PM25,SO2
2015-01-01 00:00:00,,1.17,,33.22,74.58,,
2015-01-01 01:00:00,,1.15,,41.64,89.2,,
2015-01-01 02:00:00,,0.81,,49.66,55.41,,
2015-01-01 03:00:00,,0.79,,49.68,44.15,,
2015-01-01 04:00:00,,0.72,,56.3,46.06,,
2015-01-01 05:00:00,,0.72,,48.04,42.3,,
2015-01-01 06:00:00,,0.67,,49.84,41.84,,
2015-01-01 07:00:00,,0.61,,56.82,24.87,,
2015-01-01 08:00:00,,0.64,,51.96,24.24,,
2015-01-01 09:00:00,,0.71,,62.08,6.75,,
2015-01-01 10:00:00,,0.7,,67.54,14.44,,
2015-01-01 11:00:00,,0.7,,73.26,31.61,,
2015-01-01 12:00:00,,0.66,,76.9,39.86,,
2015-01-01 13:00:00,,0.63,,79.7,25.74,,
2015-01-01 14:00:00,,0.67,,81.34,49.99,,
2015-01-01 15:00:00,,0.71,,80.72,51.93,,
2015-01-01 16:00:00,,0.71,,73.58,55.1,,
2015-01-01 17:00:00,,0.78,,69.76,61.69,,
2015-01-01 18:00:00,,0.8,,65.28,57.63,,
2015-01-01 19:00:00,,0.73,,61.82,50.06,,2.1
2015-01-01 20:00:00,,0.74,,57.58,53.64,,6.22
2015-01-01 21:00:00,,0.74,,63.8,52.17,,
2015-01-01 22:00:00,,0.8,,63.22,46.72,,
2015-01-01 23:00:00,,,,,47.555,,
2015-01-02 00:00:00,,0.75,,57.92,48.39,,
2015-01-02 01:00:00,,0.73,,64.16,54.08,,
2015-01-02 02:00:00,,1.46,,38.54,74.14,,
2015-01-02 03:00:00,,1.96,,25.34,151.28,,
2015-01-02 04:00:00,,1.74,,23.76,137.64,,
2015-01-02 05:00:00,,1.54,,26.82,124.24,,
2015-01-02 06:00:00,,1.61,,17.18,125.64,,
2015-01-02 07:00:00,,1.75,,13.92,132.34,,
2015-01-02 08:00:00,,1.67,,18.24,128.87,,
2015-01-02 09:00:00,,1.55,,29.06,138.94,,
2015-01-02 10:00:00,,1.45,,45.04,116.45,,18.27
2015-01-02 11:00:00,,1.28,,61.4,136.43,,20.35
2015-01-02 12:00:00,,1.15,,74.04,163.6,,22.88
2015-01-02 13:00:00,,1.13,,85.74,174.43,,15.91
2015-01-02 14:00:00,,1.0,,87.88,157.12,,18.14
2015-01-02 15:00:00,,1.08,,95.5,125.25,,14.2
2015-01-02 16:00:00,,1.46,,94.64,176.76,,28.14
2015-01-02 17:00:00,,1.83,,63.06,213.18,,16.84
2015-01-02 18:00:00,,2.03,,21.3,215.28,,10.11
2015-01-02 19:00:00,,2.11,,7.94,222.06,,7.16
2015-01-02 20:00:00,,2.12,,8.02,193.37,,6.33
2015-01-02 21:00:00,,2.19,,6.5,176.61,,6.78
2015-01-02 22:00:00,,2.38,,6.88,193.99,,6.49
2015-01-02 23:00:00,,,,,179.92000000000002,,
2015-01-03 00:00:00,,1.84,,6.54,165.85,,6.62
2015-01-03 01:00:00,,1.66,,6.4,184.02,,6.76
2015-01-03 02:00:00,,1.67,,5.42,148.01,,6.62
2015-01-03 03:00:00,,1.55,,9.28,169.37,,6.78
2015-01-03 04:00:00,,1.86,,6.7,184.71,,6.41
2015-01-03 05:00:00,,1.8,,14.62,207.36,,7.85
2015-01-03 06:00:00,,1.69,,12.62,208.1,,8.22
2015-01-03 07:00:00,,1.84,,8.14,199.86,,8.72
2015-01-03 08:00:00,,2.03,,10.1,214.29,,9.52
2015-01-03 09:00:00,,1.89,,24.5,216.66,,10.24
2015-01-03 10:00:00,,1.62,,44.6,217.74,,12.82
2015-01-03 11:00:00,,1.55,,51.34,202.1,,20.64
2015-01-03 12:00:00,,1.96,,68.8,271.3,,17.98
2015-01-03 13:00:00,,1.69,,66.18,223.59,,16.04
2015-01-03 14:00:00,,2.46,,76.4,237.56,,16.49
2015-01-03 15:00:00,,2.66,,87.64,344.16,,14.28
2015-01-03 16:00:00,,2.7,,35.12,289.72,,14.12
2015-01-03 17:00:00,,2.37,,7.4,277.59,,10.64
2015-01-03 18:00:00,,2.84,,7.16,186.95,,9.55
2015-01-03 19:00:00,,2.44,,4.36,220.33,,6.68
2015-01-03 20:00:00,,2.04,,4.32,133.77,,5.4
2015-01-03 21:00:00,,2.27,,5.66,150.53,,4.81
2015-01-03 22:00:00,,2.08,,4.42,139.77,,4.42
2015-01-03 23:00:00,,,,,140.36,,
2015-01-04 00:00:00,,1.59,,4.5,140.95,,4.23
2015-01-04 01:00:00,,1.5,,5.28,144.77,,4.18
2015-01-04 02:00:00,,3.05,,7.44,201.1,,4.68
2015-01-04 03:00:00,,1.88,,10.84,248.2,,4.52
2015-01-04 04:00:00,,2.46,,8.0,225.58,,5.21
2015-01-04 05:00:00,,1.66,,15.6,225.83,,4.79
2015-01-04 06:00:00,,2.54,,5.78,198.79,,4.36
2015-01-04 07:00:00,,2.46,,3.84,246.56,,4.23
2015-01-04 08:00:00,,2.15,,6.86,212.68,,4.23
2015-01-04 09:00:00,,2.34,,15.6,206.13,,5.67
2015-01-04 10:00:00,,2.51,,32.18,269.51,,6.62
2015-01-04 11:00:00,,1.91,,53.62,250.86,,9.63
2015-01-04 12:00:00,,1.01,,36.7,153.81,,6.52
2015-01-04 13:00:00,,1.46,,46.36,140.94,,6.7
2015-01-04 14:00:00,,0.52,,55.24,41.88,,10.48
2015-01-04 15:00:00,,0.52,,62.02,8.93,,8.43
2015-01-04 16:00:00,,0.63,,59.08,22.98,,7.87
2015-01-04 17:00:00,,1.03,,44.16,47.35,,0.67
2015-01-04 18:00:00,,0.52,,56.74,34.07,,7.87
2015-01-04 19:00:00,,0.53,,60.48,10.57,,7.18
2015-01-04 20:00:00,,0.38,,64.26,15.19,,5.45
2015-01-04 21:00:00,,,,,18.24,,
2015-01-04 22:00:00,,0.5,,60.14,21.29,,5.13
2015-01-04 23:00:00,,,,,29.31,,
2015-01-05 00:00:00,,0.75,,41.3,37.33,,4.42
2015-01-05 01:00:00,,0.59,,47.08,38.98,,4.47
2015-01-05 02:00:00,,0.38,,56.3,11.06,,4.5
2015-01-05 03:00:00,,0.42,,51.9,17.51,,4.92
2015-01-05 04:00:00,,0.49,,46.76,17.48,,4.6
2015-01-05 05:00:00,,0.38,,53.32,18.55,,4.92
2015-01-05 06:00:00,,0.32,,59.7,7.65,,11.12
2015-01-05 07:00:00,,0.31,,59.58,9.3,,16.49
2015-01-05 08:00:00,,0.49,,50.8,12.15,,15.22
2015-01-05 09:00:00,,0.43,,54.92,16.83,,14.44
2015-01-05 10:00:00,,0.37,,63.4,8.29,,9.87
2015-01-05 11:00:00,,0.51,,62.64,16.77,,15.67
2015-01-05 12:00:00,,0.61,,59.14,37.16,,9.28
2015-01-05 13:00:00,,0.58,,58.46,27.58,,9.58
2015-01-05 14:00:00,,0.55,,54.34,28.02,,10.05
2015-01-05 15:00:00,,0.44,,56.14,44.56,,7.66
2015-01-05 16:00:00,,0.55,,52.44,25.0,,7.45
2015-01-05 17:00:00,,0.75,,47.04,31.21,,8.43
2015-01-05 18:00:00,,0.55,,53.68,29.57,,8.91
2015-01-05 19:00:00,,0.53,,56.6,17.95,,9.02
2015-01-05 20:00:00,,0.46,,61.36,24.96,,7.16
2015-01-05 21:00:00,,0.46,,62.32,19.73,,6.44
2015-01-05 22:00:00,,0.81,,37.64,31.1,,6.17
2015-01-05 23:00:00,,,,,30.57,,
2015-01-06 00:00:00,,0.77,,26.66,30.04,,7.87
2015-01-06 01:00:00,,0.64,,38.2,24.04,,7.37
2015-01-06 02:00:00,,0.59,,41.58,30.41,,6.78
2015-01-06 03:00:00,,0.51,,49.22,25.27,,7.02
2015-01-06 04:00:00,,0.43,,49.24,32.67,,5.59
2015-01-06 05:00:00,,0.46,,44.72,21.15,,4.89
2015-01-06 06:00:00,,0.49,,45.06,17.37,,6.65
2015-01-06 07:00:00,,0.78,,29.5,41.08,,10.88
2015-01-06 08:00:00,,0.84,,35.66,42.02,,5.4
2015-01-06 09:00:00,,0.44,,63.38,13.5,,10.56
2015-01-06 10:00:00,,0.43,,65.9,5.12,,13.27
2015-01-06 11:00:00,,0.48,,66.48,10.01,,11.81
2015-01-06 12:00:00,,0.53,,64.18,33.24,,12.37
2015-01-06 13:00:00,,0.42,,59.9,19.29,,12.13
2015-01-06 14:00:00,,0.36,,63.12,28.47,,10.03
2015-01-06 15:00:00,,0.45,,63.9,24.54,,8.46
2015-01-06 16:00:00,,0.57,,55.46,31.84,,8.88
2015-01-06 17:00:00,,0.55,,57.84,45.33,,7.71
2015-01-06 18:00:00,,0.66,,49.82,48.14,,8.54
2015-01-06 19:00:00,,0.73,,42.68,45.22,,8.94
2015-01-06 20:00:00,,0.79,,38.58,38.24,,7.95
2015-01-06 21:00:00,,0.55,,57.32,42.29,,8.78
2015-01-06 22:00:00,,0.28,,67.14,15.22,,8.54
2015-01-06 23:00:00,,,,,19.245,,
2015-01-07 00:00:00,,0.34,,66.58,23.27,,7.74
2015-01-07 01:00:00,,0.3,,65.98,24.83,,7.18
2015-01-07 02:00:00,,0.35,,61.32,21.94,,7.16
2015-01-07 03:00:00,,0.28,,65.6,23.53,,7.13
2015-01-07 04:00:00,,0.2,,68.38,18.46,,6.52
2015-01-07 05:00:00,,0.2,,67.54,13.63,,7.87
2015-01-07 06:00:00,,0.2,,67.62,14.93,,3.14
2015-01-07 07:00:00,,0.2,,66.54,19.06,,9.66
2015-01-07 08:00:00,,0.24,,65.14,14.87,,9.39
2015-01-07 09:00:00,,0.35,,62.08,12.26,,9.04
2015-01-07 10:00:00,,0.36,,65.52,24.27,,8.91
2015-01-07 11:00:00,,0.32,,70.2,23.75,,13.59
2015-01-07 12:00:00,,0.35,,73.88,30.01,,17.69
