time,AQI,CO,NO2,O3,PM10,PM25,SO2
2015-01-01 00:00:00,,1.68,98.14,49.08,271.61,,1.97
2015-01-01 01:00:00,,1.82,84.29,42.74,227.21,,2.1
2015-01-01 02:00:00,,2.61,76.69,44.76,259.86,,1.97
2015-01-01 03:00:00,,2.03,61.31,39.08,215.94,,1.76
2015-01-01 04:00:00,,1.51,60.53,42.76,206.35,,1.89
2015-01-01 05:00:00,,1.04,39.69,69.32,94.99,,1.28
2015-01-01 06:00:00,,0.87,42.1,67.48,155.31,,1.22
2015-01-01 07:00:00,,0.6,40.89,64.4,170.75,,0.85
2015-01-01 08:00:00,,0.58,54.03,56.7,219.59,,1.28
2015-01-01 09:00:00,,0.77,47.83,63.28,292.34,,1.09
2015-01-01 10:00:00,,0.13,40.93,65.72,199.75,,1.06
2015-01-01 11:00:00,,0.13,46.91,74.92,150.99,,1.12
2015-01-01 12:00:00,,0.13,53.04,65.38,153.06,,1.38
2015-01-01 13:00:00,,0.13,49.6,67.3,237.1,,1.33
2015-01-01 14:00:00,,0.13,42.75,65.98,186.43,,1.22
2015-01-01 15:00:00,,0.2,26.78,61.18,122.66,,1.65
2015-01-01 16:00:00,,0.14,55.26,63.44,182.94,,1.52
2015-01-01 17:00:00,,0.23,45.53,58.64,334.08,,1.54
2015-01-01 18:00:00,,0.13,43.95,63.76,292.08,,1.25
2015-01-01 19:00:00,,0.13,53.54,61.22,291.81,,1.3
2015-01-01 20:00:00,,0.13,64.84,36.4,246.76,,1.86
2015-01-01 21:00:00,,0.17,70.1,46.26,260.65,,1.78
2015-01-01 22:00:00,,1.06,65.67,40.4,306.22,,1.81
2015-01-01 23:00:00,,,,,396.44000000000005,,
2015-01-02 00:00:00,,0.86,56.61,42.12,486.66,,1.84
2015-01-02 01:00:00,,0.16,45.1,56.38,265.87,,1.62
2015-01-02 02:00:00,,0.2,46.62,72.24,214.87,,1.36
2015-01-02 03:00:00,,0.22,49.83,61.88,270.51,,1.44
2015-01-02 04:00:00,,0.15,41.5,65.5,290.86,,1.36
2015-01-02 05:00:00,,0.24,41.22,71.34,308.62,,1.65
2015-01-02 06:00:00,,0.37,43.4,72.18,354.11,,1.28
2015-01-02 07:00:00,,0.66,45.71,58.98,279.33,,2.23
2015-01-02 08:00:00,,0.72,50.73,55.5,197.58,,2.21
2015-01-02 09:00:00,,0.31,53.96,65.78,251.48,,2.0
2015-01-02 10:00:00,,0.52,58.03,48.38,323.52,,3.17
2015-01-02 11:00:00,,0.67,55.14,56.88,571.14,,5.32
2015-01-02 12:00:00,,0.96,60.18,70.5,549.49,,4.52
2015-01-02 13:00:00,,1.44,64.92,68.8,326.19,,3.01
2015-01-02 14:00:00,,1.45,58.9,85.32,354.49,,1.89
2015-01-02 15:00:00,,1.81,75.31,65.06,289.9,,1.73
2015-01-02 16:00:00,,0.49,96.82,72.48,456.45,,1.84
2015-01-02 17:00:00,,0.35,83.93,59.96,583.03,,1.52
2015-01-02 18:00:00,,0.66,111.03,41.6,539.37,,1.76
2015-01-02 19:00:00,,0.35,144.22,25.7,827.45,,2.55
2015-01-02 20:00:00,,0.26,113.57,22.72,970.8,,2.85
2015-01-02 21:00:00,,0.32,114.2,30.84,913.83,,1.97
2015-01-02 22:00:00,,6.39,113.47,31.48,780.38,,2.13
2015-01-02 23:00:00,,,,,814.28,,
2015-01-03 00:00:00,,0.24,92.6,45.78,848.18,,1.92
2015-01-03 01:00:00,,0.8,99.78,50.26,635.78,,1.78
2015-01-03 02:00:00,,2.23,94.49,41.76,729.49,,1.81
2015-01-03 03:00:00,,1.21,82.8,42.6,700.64,,1.81
2015-01-03 04:00:00,,2.03,76.63,58.18,491.93,,1.78
2015-01-03 05:00:00,,0.71,89.1,41.7,641.44,,1.76
2015-01-03 06:00:00,,0.68,74.45,53.26,613.17,,1.73
2015-01-03 07:00:00,,0.56,65.89,54.34,377.68,,1.57
2015-01-03 08:00:00,,0.24,77.57,46.32,429.17,,1.76
2015-01-03 09:00:00,,0.26,78.1,52.32,558.46,,1.97
2015-01-03 10:00:00,,0.39,79.38,70.56,607.83,,1.97
2015-01-03 11:00:00,,0.79,104.78,70.04,539.16,,1.92
2015-01-03 12:00:00,,0.65,105.07,83.5,774.89,,2.05
2015-01-03 13:00:00,,0.48,94.98,99.9,635.67,,1.65
2015-01-03 14:00:00,,3.07,133.17,115.28,569.74,,1.78
2015-01-03 15:00:00,,0.67,172.34,65.46,988.37,,2.98
2015-01-03 16:00:00,,3.43,162.08,100.52,657.37,,1.94
2015-01-03 17:00:00,,0.22,168.39,40.52,978.87,,2.31
2015-01-03 18:00:00,,1.51,219.73,36.7,996.19,,3.48
2015-01-03 19:00:00,,0.65,206.34,25.78,996.42,,3.94
2015-01-03 20:00:00,,1.17,181.45,28.28,996.42,,5.05
2015-01-03 21:00:00,,0.65,172.45,28.74,996.4,,5.83
2015-01-03 22:00:00,,0.6,164.6,22.68,996.4,,4.97
2015-01-03 23:00:00,,,,,991.52,,
2015-01-04 00:00:00,,0.41,157.5,34.84,986.64,,3.78
2015-01-04 01:00:00,,0.96,146.75,34.48,950.46,,3.91
2015-01-04 02:00:00,,2.29,135.17,32.6,896.97,,3.46
2015-01-04 03:00:00,,0.49,113.55,40.8,733.65,,2.02
2015-01-04 04:00:00,,0.45,94.49,45.82,567.08,,1.86
2015-01-04 05:00:00,,1.54,81.19,60.5,660.08,,2.85
2015-01-04 06:00:00,,0.92,70.77,62.98,844.21,,2.29
2015-01-04 07:00:00,,0.6,67.54,58.48,646.56,,1.84
2015-01-04 08:00:00,,2.4,79.36,48.02,663.95,,1.89
2015-01-04 09:00:00,,0.6,78.6,46.24,522.41,,4.04
2015-01-04 10:00:00,,1.58,72.9,53.04,847.59,,4.47
2015-01-04 11:00:00,,1.81,77.64,57.38,692.56,,3.51
2015-01-04 12:00:00,,3.34,29.53,60.02,323.31,,3.35
2015-01-04 13:00:00,,7.11,35.14,55.2,67.11,,2.07
2015-01-04 14:00:00,,3.07,49.51,58.82,43.08,,2.07
2015-01-04 15:00:00,,2.39,95.54,31.5,85.5,,2.55
2015-01-04 16:00:00,,1.03,69.83,43.5,140.12,,2.53
2015-01-04 17:00:00,,1.21,54.8,51.94,136.94,,1.92
2015-01-04 18:00:00,,0.42,27.58,68.4,73.86,,1.65
2015-01-04 19:00:00,,2.13,33.37,67.56,60.34,,1.52
2015-01-04 20:00:00,,0.19,17.86,79.9,38.9,,0.8
2015-01-04 21:00:00,,,,,81.05000000000001,,
2015-01-04 22:00:00,,3.04,75.14,48.62,123.2,,1.86
2015-01-04 23:00:00,,,,,127.26500000000001,,
2015-01-05 00:00:00,,0.6,53.59,71.8,131.33,,1.73
