time,apparentTemperature,cloudCover,dewPoint,humidity,ozone,precipAccumulation,precipIntensity,precipProbability,pressure,temperature,uvIndex,visibility,windBearing,windGust,windSpeed,no precip,rain,snow,Clear,Dangerously Windy and Partly Cloudy,Drizzle,Foggy,Heavy Rain,Humid,Light Rain,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle,Possible Light Rain,Possible Light Snow,Rain,Snow,Windy,Windy and Mostly Cloudy,Windy and Overcast,Windy and Partly Cloudy
2015-01-01 03:00:00,-2.4,0.0,12.03,0.77,,0.0,,,1031.28,18.08,0.0,,41.0,,34.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-01-01 04:00:00,17.76,0.0,6.52,0.61,,0.0,0.0,0.0,1031.99,17.76,0.0,,,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 06:00:00,-5.35,0.0,10.98,0.8,,0.0,,,1032.7,15.93,0.0,,41.0,,34.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-01-01 09:00:00,15.43,0.38,10.19,0.62,,0.0,0.0,0.0,1035.2,21.22,1.0,,353.0,4.15,4.15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-01-01 10:00:00,26.78,0.0,11.3,0.52,,0.0,0.0,0.0,1034.5033333333333,26.78,,,,4.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 11:00:00,27.79,0.0,11.3,0.49,,0.0,0.0,0.0,1033.8066666666666,27.79,,,,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 12:00:00,22.84,0.0,10.77,0.49,,0.0,0.0,0.0,1033.11,27.22,,,55.0,3.77,3.77,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 13:00:00,27.79,0.0,9.91,0.46,,0.0,0.0,0.0,1032.8033333333333,27.79,,,,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 14:00:00,26.78,0.0,10.9,0.51,,0.0,0.0,0.0,1032.4966666666667,26.78,,,,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 15:00:00,23.79,0.0,7.56,0.49,,0.0,0.0,0.0,1032.19,23.79,,,41.0,4.99,2.09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 16:00:00,22.81,0.0,8.07,0.53,,0.0,0.0,0.0,1032.17,22.81,0.0,,0.0,2.99,2.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
