AQI,CO,CO2,NO2,O3,PM10,PM25,SO2,time
,0.29,,9.14,54.99,30.02,33.84,7.76,1420070400
,0.27,,7.28,59.36,30.21,32.11,9.55,1420074000
,0.18,,8.11,59.57,29.4,30.34,8.11,1420077600
,0.2,,9.51,57.18,28.83,29.2,8.11,1420081200
,0.19,,9.12,57.91,27.69,27.28,8.75,1420084800
,0.2,,8.77,57.04,27.28,26.48,9.2,1420088400
,0.18,,4.84,62.65,26.04,24.26,9.14,1420092000
,0.18,,5.29,64.54,25.77,24.3,10.0,1420095600
,0.17,,3.75,66.81,24.47,22.54,11.14,1420099200
,0.17,,4.09,68.17,21.94,20.48,12.0,1420102800
,0.15,,3.38,69.43,20.63,18.48,13.26,1420106400
,0.13,,4.59,71.38,19.44,16.14,11.97,1420110000
,0.13,,5.51,72.82,20.62,16.51,12.79,1420113600
,0.13,,6.31,74.82,22.52,16.13,14.92,1420117200
,0.14,,7.73,76.99,24.35,18.15,14.01,1420120800
,0.15,,10.12,77.38,26.72,21.1,13.89,1420124400
,0.18,,14.87,69.18,31.17,25.98,12.74,1420128000
,0.17,,11.54,68.08,32.08,26.58,12.11,1420131600
,0.14,,11.64,68.17,30.53,24.27,11.4,1420135200
,0.68,,22.09,51.94,39.52,36.1,11.56,1420138800
,1.2,,37.26,22.57,58.96,54.25,10.25,1420142400
,1.12,,38.06,19.77,60.74,50.8,10.27,1420146000
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,1.14,,32.57,22.63,69.43,56.54,10.25,1420149600
,3.09,,43.25,5.81,142.95,134.38,8.91,1420156800
,2.41,,38.07,6.2,124.15,107.58,7.74,1420160400
,1.37,,30.72,10.99,117.24,91.4,8.14,1420164000
,0.76,,21.35,21.61,107.99,76.05,7.87,1420167600
,0.97,,23.23,20.69,120.14,83.12,7.5,1420171200
,2.62,,35.16,7.35,191.26,138.15,8.96,1420174800
,1.21,,25.92,9.54,126.57,83.65,7.65,1420178400
,1.1,,25.24,25.3,122.15,75.26,9.89,1420182000
,2.63,,41.76,4.97,183.53,119.69,13.22,1420185600
,2.7,,50.33,6.94,202.51,131.92,15.92,1420189200
,1.85,,48.69,17.68,176.54,104.44,17.88,1420192800
,1.99,,63.32,17.92,217.11,120.59,19.54,1420196400
,1.65,,60.68,37.73,227.52,119.48,19.99,1420200000
,2.27,,74.22,45.69,279.29,150.12,19.23,1420203600
,1.78,,74.32,53.01,238.02,125.67,17.45,1420207200
,2.57,,97.23,29.9,271.32,142.88,19.06,1420210800
,2.64,,87.02,26.06,245.48,128.55,18.08,1420214400
,2.89,,88.59,5.86,249.31,130.37,17.81,1420218000
,2.96,,80.47,3.76,246.03,129.86,14.7,1420221600
,3.1,,78.32,3.26,257.06,136.79,14.87,1420225200
,3.12,,70.58,3.77,261.78,140.99,13.77,1420228800
,3.35,,69.35,5.04,284.05,156.04,12.99,1420232400
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.45,,85.54,6.47,410.48,228.59,15.69,1420236000
,4.38,,70.2,5.05,400.89,230.57,14.32,1420243200
,3.78,,64.46,4.15,354.36,197.76,12.39,1420246800
,3.92,,60.18,5.1,369.26,203.64,11.82,1420250400
,3.29,,55.68,3.71,335.33,183.71,9.29,1420254000
,3.5,,53.85,4.07,344.96,190.6,10.08,1420257600
,3.33,,51.06,3.5,334.43,181.71,9.68,1420261200
,3.27,,49.99,3.23,325.14,173.8,9.31,1420264800
,3.09,,50.72,3.0,308.34,162.56,10.29,1420268400
,2.64,,49.54,2.3,280.71,150.12,9.53,1420272000
,2.91,,59.77,2.87,284.97,155.97,12.69,1420275600
,2.82,,66.67,8.02,303.53,164.22,13.52,1420279200
,3.16,,77.55,9.08,340.67,183.11,14.66,1420282800
,3.06,,78.59,18.88,366.52,197.04,14.39,1420286400
,2.86,,82.93,24.19,328.2,177.34,16.92,1420290000
,2.8,,87.81,23.75,291.72,154.87,18.01,1420293600
,3.23,,106.34,17.38,317.1,162.45,21.7,1420297200
,5.02,,134.51,6.81,499.58,253.28,19.7,1420300800
,6.48,,132.07,6.2,583.34,292.44,20.01,1420304400
,6.03,,96.41,5.13,467.33,212.84,20.47,1420308000
,4.71,,75.96,3.9,366.49,159.42,15.36,1420311600
,5.57,,85.86,3.99,448.06,189.08,17.65,1420315200
,6.53,,82.84,7.04,503.47,214.91,21.2,1420318800
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
,6.95,,84.06,6.36,586.49,242.27,18.94,1420322400
