AQI,CO,CO2,NO2,O3,PM10,PM25,SO2,time
,1.94,,0.55,,60.91,,3.03,1420070400
,1.86,,-0.13,,73.87,,2.93,1420074000
,1.89,,-0.27,,66.72,,2.66,1420077600
,1.79,,-0.94,,49.14,,2.53,1420081200
,1.74,,,,33.91,,2.26,1420084800
,1.67,,,,32.6,,2.18,1420088400
,1.66,,,,26.57,,2.0,1420092000
,1.66,,,,25.24,,2.02,1420095600
,1.68,,,,16.72,,1.81,1420099200
,1.71,,,,1.08,,2.1,1420102800
,1.75,,,,1.08,,3.8,1420106400
,1.88,,,,36.43,,4.68,1420110000
,1.93,,,,11.24,,5.45,1420113600
,1.97,,-0.92,,53.62,,7.58,1420117200
,2.0,,-0.82,,67.56,,7.87,1420120800
,2.12,,0.11,,90.93,,7.79,1420124400
,2.04,,0.44,,99.29,,7.61,1420128000
,2.02,,1.28,,122.15,,6.06,1420131600
,2.12,,2.94,,93.85,,4.58,1420135200
,2.66,,9.28,,145.36,,3.51,1420138800
,2.54,,6.13,,175.37,,3.06,1420142400
,2.52,,6.17,,131.51,,2.77,1420146000
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,2.62,,7.24,,132.18,,2.58,1420149600
,4.22,,13.14,,184.22,,2.18,1420156800
,5.03,,13.14,,329.67,,2.26,1420160400
,3.67,,7.7,,279.12,,1.84,1420164000
,2.92,,3.86,,246.98,,1.78,1420167600
,2.7,,3.48,,174.96,,1.76,1420171200
,4.25,,7.7,,243.06,,1.7,1420174800
,4.15,,8.17,,283.9,,1.68,1420178400
,2.66,,4.97,,196.73,,1.65,1420182000
,4.3,,9.23,,232.06,,1.94,1420185600
,3.97,,12.49,,228.0,,2.05,1420189200
,4.11,,20.42,,155.96,,2.53,1420192800
,3.27,,21.96,,384.5,,2.05,1420196400
,3.04,,22.42,,343.18,,5.03,1420200000
,2.58,,22.67,,397.12,,5.83,1420203600
,1.95,,18.13,,258.14,,7.0,1420207200
,1.88,,22.18,,266.75,,7.53,1420210800
,1.95,,20.48,,295.06,,7.26,1420214400
,2.39,,37.51,,343.52,,4.15,1420218000
,2.7,,32.13,,322.51,,2.93,1420221600
,4.36,,43.15,,413.98,,3.01,1420225200
,5.78,,36.46,,521.2,,3.33,1420228800
,3.67,,29.18,,442.35,,2.93,1420232400
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,6.0,,35.43,,477.69,,3.94,1420236000
,4.06,,29.39,,411.45,,3.14,1420243200
,4.21,,29.99,,396.18,,3.4,1420246800
,4.41,,29.99,,417.89,,3.22,1420250400
,4.63,,28.23,,429.86,,3.35,1420254000
,4.06,,25.86,,377.26,,3.48,1420257600
,4.37,,22.61,,333.93,,3.62,1420261200
,4.19,,23.3,,389.99,,3.86,1420264800
,3.96,,26.09,,389.36,,3.99,1420268400
,3.61,,28.02,,369.75,,4.12,1420272000
,3.19,,29.28,,310.0,,4.1,1420275600
,3.28,,55.01,,249.7,,4.97,1420279200
,3.17,,37.24,,445.66,,5.03,1420282800
,3.47,,32.76,,473.78,,5.61,1420286400
,3.64,,60.22,,407.54,,6.78,1420290000
,6.01,,127.87,,505.11,,7.9,1420293600
,3.82,,127.38,,477.03,,8.7,1420297200
