AQI,CO,NO2,O3,PM10,PM25,SO2,time
,0.15,9.21,57.36,28.24,27.59,,1420070400
,0.12,8.04,59.97,27.29,26.13,,1420074000
,0.15,9.94,59.12,27.77,25.99,,1420077600
,0.14,8.9,59.48,27.76,25.64,,1420081200
,0.11,7.69,60.22,25.33,22.56,,1420084800
,0.11,8.94,59.31,24.09,20.79,,1420088400
,0.08,6.31,63.06,22.69,19.52,,1420092000
,0.08,5.46,64.93,23.22,19.84,,1420095600
,0.08,5.68,65.14,24.98,22.2,,1420099200
,0.11,5.08,66.44,25.48,22.92,,1420102800
,0.11,4.64,67.99,19.15,17.7,,1420106400
,0.2,4.33,70.61,17.25,15.98,,1420110000
,0.09,4.48,72.32,18.4,17.51,,1420113600
,0.1,4.53,75.84,17.49,16.68,,1420117200
,0.12,5.01,79.21,19.94,19.29,,1420120800
,0.26,7.4,80.32,23.01,21.97,,1420124400
,0.19,10.95,76.15,28.69,26.26,,1420128000
,0.24,13.84,69.24,40.0,35.38,,1420131600
,0.29,15.11,66.26,34.27,27.79,,1420135200
,0.32,18.4,58.47,33.46,26.95,,1420138800
,1.31,30.99,44.66,70.6,59.28,,1420142400
,2.62,53.11,12.41,140.94,117.06,,1420146000
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
,2.91,52.6,8.08,177.82,144.87,,1420149600
