AQI,CO,NO2,O3,PM10,PM25,SO2,time
,,,,,,,1420070400
,0.99,,21.44,85.28,,1.68,1420074000
,1.93,,14.6,142.96,,1.99,1420077600
,2.25,,11.02,226.54,,1.89,1420081200
,1.6,,12.56,130.13,,1.84,1420084800
,1.3,,10.78,114.39,,1.76,1420088400
,0.86,,10.84,75.03,,1.68,1420092000
,1.11,,12.08,67.15,,1.68,1420095600
,0.87,,8.9,70.47,,1.78,1420099200
,1.48,,11.44,74.63,,1.6,1420102800
,1.15,,15.94,108.93,,1.78,1420106400
,1.04,,20.28,91.67,,3.06,1420110000
,0.79,,23.88,51.31,,3.17,1420113600
,1.02,,23.66,78.93,,2.26,1420117200
,1.04,,25.54,91.75,,2.23,1420120800
,0.95,,25.62,101.08,,2.37,1420124400
,0.87,,39.34,87.97,,2.34,1420128000
,1.37,,26.1,99.51,,2.1,1420131600
,2.25,,14.22,144.06,,2.26,1420135200
,2.62,,7.8,204.67,,3.03,1420138800
,3.11,,8.58,253.68,,3.06,1420142400
,3.96,,9.6,330.06,,2.9,1420146000
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,4.12,,9.04,334.13,,3.11,1420149600
,3.76,,8.6,398.53,,3.11,1420156800
,3.03,,8.44,303.12,,2.87,1420160400
,3.17,,8.58,288.71,,2.47,1420164000
,3.09,,8.32,240.0,,2.47,1420167600
,2.95,,8.76,275.49,,2.58,1420171200
,2.76,,8.7,224.28,,2.18,1420174800
,2.08,,8.68,183.39,,2.26,1420178400
,2.62,,8.9,188.46,,2.18,1420182000
,2.4,,9.08,190.63,,2.71,1420185600
,2.33,,11.72,220.07,,2.61,1420189200
,2.06,,12.8,183.09,,3.27,1420192800
,2.71,,16.52,252.17,,4.76,1420196400
,1.95,,23.06,217.07,,2.93,1420200000
,2.08,,25.06,197.68,,2.37,1420203600
,1.51,,23.44,196.98,,2.66,1420207200
,2.33,,27.68,228.71,,3.03,1420210800
,2.55,,19.4,231.2,,2.95,1420214400
,2.8,,8.1,290.82,,3.4,1420218000
,3.94,,8.2,341.28,,3.7,1420221600
,5.22,,11.12,366.31,,3.19,1420225200
,3.85,,8.96,366.41,,3.64,1420228800
,4.74,,9.7,452.18,,3.64,1420232400
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,4.71,,10.86,359.08,,3.4,1420236000
,5.52,,9.36,609.58,,3.62,1420243200
,5.85,,11.98,455.92,,3.64,1420246800
,6.33,,11.66,559.96,,3.67,1420250400
,3.79,,9.2,315.27,,3.67,1420254000
,4.35,,10.46,312.86,,3.51,1420257600
,3.9,,9.14,349.0,,3.64,1420261200
,2.75,,8.62,242.79,,3.43,1420264800
,2.96,,8.56,248.66,,3.4,1420268400
,3.75,,9.48,303.91,,3.51,1420272000
,3.06,,9.6,309.83,,4.66,1420275600
,3.71,,17.88,307.33,,3.4,1420279200
,2.66,,20.8,317.87,,3.43,1420282800
,3.11,,24.24,327.72,,3.33,1420286400
,3.93,,42.44,427.53,,3.48,1420290000
,2.83,,27.84,352.41,,3.54,1420293600
,3.48,,28.94,273.34,,3.4,1420297200
,5.9,,14.56,477.11,,3.54,1420300800
,4.58,,9.84,558.31,,3.75,1420304400
,5.43,,9.34,469.47,,3.78,1420308000
,6.44,,10.58,528.39,,3.83,1420311600
,3.27,,7.12,465.47,,3.83,1420315200
,4.25,,9.76,460.18,,3.78,1420318800
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
,6.35,,12.74,554.32,,3.78,1420322400
