AQI,CO,NO2,O3,PM10,PM25,SO2,time
,1.93,0.86,55.38,27.95,,3.67,1420070400
,1.95,0.97,56.22,29.47,,4.07,1420074000
,1.87,1.01,56.92,25.83,,4.92,1420077600
,1.97,0.86,52.18,29.1,,4.15,1420081200
,1.96,1.03,57.16,23.41,,4.2,1420084800
,1.95,0.92,55.02,24.71,,4.23,1420088400
,1.86,0.78,57.7,23.07,,4.23,1420092000
,1.93,0.94,58.48,20.35,,5.29,1420095600
,1.94,1.13,55.4,18.57,,11.23,1420099200
,1.86,0.92,61.16,10.08,,6.86,1420102800
,1.77,1.03,63.06,13.07,,5.88,1420106400
,1.68,0.92,66.2,28.7,,5.0,1420110000
,1.73,0.84,66.74,6.53,,5.51,1420113600
,1.67,0.82,68.44,23.41,,6.76,1420117200
,1.61,0.8,70.84,34.63,,6.62,1420120800
,1.5,0.74,69.2,45.67,,5.91,1420124400
,1.46,0.67,62.16,62.97,,5.69,1420128000
,1.1,0.65,63.46,62.52,,5.56,1420131600
,2.78,0.69,51.58,48.58,,8.06,1420135200
,4.11,0.8,34.28,167.41,,8.83,1420138800
,4.73,0.71,26.46,131.54,,7.16,1420142400
,4.07,0.82,33.6,138.19,,7.42,1420146000
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,5.14,0.82,24.28,112.24,,6.52,1420149600
,9.7,0.95,5.84,278.55,,6.04,1420156800
,8.6,0.78,4.48,275.89,,2.37,1420160400
,10.01,1.05,5.58,295.02,,4.68,1420164000
,9.31,1.18,4.04,301.54,,4.36,1420167600
,8.03,0.97,4.6,255.62,,4.58,1420171200
,5.97,1.17,6.4,192.81,,3.22,1420174800
,7.75,0.92,3.82,180.82,,4.02,1420178400
,8.11,0.88,3.16,239.35,,0.69,1420182000
,7.84,0.84,5.56,241.94,,5.91,1420185600
,7.52,1.07,12.44,266.78,,6.01,1420189200
,6.79,0.8,22.08,260.22,,8.03,1420192800
,6.89,1.17,39.82,294.07,,8.64,1420196400
,7.61,0.94,59.96,369.04,,8.91,1420200000
,6.21,0.69,68.58,348.4,,8.09,1420203600
,5.15,0.76,68.36,267.84,,8.03,1420207200
,5.73,0.65,63.78,269.68,,10.0,1420210800
,5.35,0.67,36.0,232.49,,9.12,1420214400
,10.37,0.11,6.86,323.38,,9.66,1420218000
,13.54,0.76,2.18,457.18,,9.02,1420221600
,19.33,0.73,6.96,651.03,,8.54,1420225200
,14.42,0.73,4.98,542.11,,8.67,1420228800
,20.07,0.71,13.06,585.53,,8.41,1420232400
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,17.48,0.69,8.52,717.61,,6.76,1420236000
,12.16,0.65,6.48,420.91,,-0.85,1420243200
,15.05,0.69,7.7,573.4,,5.83,1420246800
,12.16,0.92,0.22,487.23,,4.95,1420250400
,11.04,0.69,4.2,427.6,,4.5,1420254000
,10.32,0.73,3.36,390.79,,4.39,1420257600
,8.87,0.76,3.26,385.58,,4.47,1420261200
,8.21,0.82,2.2,338.49,,4.71,1420264800
,8.42,0.71,1.74,343.33,,4.58,1420268400
,8.57,0.63,3.04,323.14,,5.37,1420272000
,8.02,0.71,6.38,315.29,,5.83,1420275600
,9.28,5.12,18.32,405.55,,7.02,1420279200
,8.11,0.65,27.26,455.89,,8.25,1420282800
,8.77,0.69,36.22,405.41,,8.51,1420286400
,7.66,0.65,46.2,413.1,,9.6,1420290000
,8.53,0.61,35.48,403.22,,10.05,1420293600
,11.59,5.21,24.06,537.67,,14.42,1420297200
,12.42,0.71,17.22,632.03,,12.02,1420300800
,12.63,0.67,5.74,629.06,,9.63,1420304400
,19.62,0.73,10.36,652.18,,8.06,1420308000
,23.11,0.71,10.74,975.28,,7.45,1420311600
,23.2,0.84,15.14,980.65,,7.95,1420315200
,23.2,0.69,13.84,994.31,,7.66,1420318800
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,22.77,0.65,7.64,991.38,,6.68,1420322400
,23.17,0.8,10.14,994.3,,7.16,1420329600
,23.18,0.69,7.66,958.2,,7.26,1420333200
,21.44,0.5,5.52,861.99,,7.1,1420336800
,19.55,0.84,5.14,703.73,,6.68,1420340400
,17.97,0.73,5.2,678.16,,5.8,1420344000
,15.14,0.71,3.54,604.82,,5.37,1420347600
,16.79,0.88,3.76,567.98,,5.53,1420351200
,17.2,,3.32,612.18,,5.56,1420354800
,16.79,0.73,3.74,586.03,,5.75,1420358400
,14.72,0.71,3.26,606.87,,5.37,1420362000
,12.6,0.73,7.86,553.31,,5.56,1420365600
,10.42,0.69,11.62,540.66,,6.04,1420369200
,7.59,0.69,13.4,397.22,,5.64,1420372800
,5.22,0.71,16.64,203.53,,6.2,1420376400
,4.74,0.69,16.76,91.76,,7.18,1420380000
,3.42,0.69,31.78,89.62,,5.64,1420383600
,1.98,5.08,50.76,9.34,,3.54,1420387200
,1.9,0.74,52.16,15.0,,3.11,1420390800
,1.72,0.59,49.4,12.31,,3.8,1420394400
,2.52,0.61,36.58,26.35,,4.47,1420398000
,2.77,0.73,19.7,42.73,,4.15,1420401600
,2.92,0.69,15.74,35.59,,4.47,1420408800
,2.92,0.69,15.74,35.59,,4.47,1420408800
,2.92,0.69,15.74,35.59,,4.47,1420408800
,2.92,0.69,15.74,35.59,,4.47,1420408800
,2.92,0.69,15.74,35.59,,4.47,1420408800
,2.92,0.69,15.74,35.59,,4.47,1420408800
