AQI,CO,NO2,O3,PM10,PM25,SO2,time
,1.17,,33.22,74.58,,,1420070400
,1.15,,41.64,89.2,,,1420074000
,0.81,,49.66,55.41,,,1420077600
,0.79,,49.68,44.15,,,1420081200
,0.72,,56.3,46.06,,,1420084800
,0.72,,48.04,42.3,,,1420088400
,0.67,,49.84,41.84,,,1420092000
,0.61,,56.82,24.87,,,1420095600
,0.64,,51.96,24.24,,,1420099200
,0.71,,62.08,6.75,,,1420102800
,0.7,,67.54,14.44,,,1420106400
,0.7,,73.26,31.61,,,1420110000
,0.66,,76.9,39.86,,,1420113600
,0.63,,79.7,25.74,,,1420117200
,0.67,,81.34,49.99,,,1420120800
,0.71,,80.72,51.93,,,1420124400
,0.71,,73.58,55.1,,,1420128000
,0.78,,69.76,61.69,,,1420131600
,0.8,,65.28,57.63,,,1420135200
,0.73,,61.82,50.06,,2.1,1420138800
,0.74,,57.58,53.64,,6.22,1420142400
,0.74,,63.8,52.17,,,1420146000
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
,0.8,,63.22,46.72,,,1420149600
