AQI,CO,NO2,O3,PM10,PM25,SO2,time
,1.68,98.14,49.08,271.61,,1.97,1420070400
,1.82,84.29,42.74,227.21,,2.1,1420074000
,2.61,76.69,44.76,259.86,,1.97,1420077600
,2.03,61.31,39.08,215.94,,1.76,1420081200
,1.51,60.53,42.76,206.35,,1.89,1420084800
,1.04,39.69,69.32,94.99,,1.28,1420088400
,0.87,42.1,67.48,155.31,,1.22,1420092000
,0.6,40.89,64.4,170.75,,0.85,1420095600
,0.58,54.03,56.7,219.59,,1.28,1420099200
,0.77,47.83,63.28,292.34,,1.09,1420102800
,0.13,40.93,65.72,199.75,,1.06,1420106400
,0.13,46.91,74.92,150.99,,1.12,1420110000
,0.13,53.04,65.38,153.06,,1.38,1420113600
,0.13,49.6,67.3,237.1,,1.33,1420117200
,0.13,42.75,65.98,186.43,,1.22,1420120800
,0.2,26.78,61.18,122.66,,1.65,1420124400
,0.14,55.26,63.44,182.94,,1.52,1420128000
,0.23,45.53,58.64,334.08,,1.54,1420131600
,0.13,43.95,63.76,292.08,,1.25,1420135200
,0.13,53.54,61.22,291.81,,1.3,1420138800
,0.13,64.84,36.4,246.76,,1.86,1420142400
,0.17,70.1,46.26,260.65,,1.78,1420146000
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
,1.06,65.67,40.4,306.22,,1.81,1420149600
