apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
10.45,0.51,10.56,0.76,partly-cloudy-night,,,,,snow,,Mostly Cloudy,16.68,1420070400,0.0,,0.0,,3.95
4.24,0.38,8.39,0.78,partly-cloudy-night,,,,,snow,,Partly Cloudy,14.02,1420081200,0.0,,0.0,,6.57
2.59,0.18,5.65,0.73,partly-cloudy-night,,,,,snow,,Partly Cloudy,12.65,1420092000,0.0,,0.0,,6.57
17.92,0.18,9.29,0.68,partly-cloudy-day,,,,,snow,,Partly Cloudy,17.92,1420102800,1.0,,71.0,,2.63
10.09,,-2.21,0.32,clear-day,,,0.0,0.0,,,Clear,23.38,1420106400,,6.216,11.0,29.98,16.1
12.86,,-2.21,0.3,clear-day,,,0.0,0.0,,,Clear,25.18,1420110000,,6.216,11.0,,14.99
14.82,,-3.98,0.26,clear-day,,,0.0,0.0,,1030.29,Clear,26.19,1420113600,,6.216,20.0,,13.42
17.35,,-0.38,0.3,clear-day,,,0.0,0.0,,,Clear,26.98,1420117200,,6.216,350.0,,10.29
14.52,,-2.21,0.3,clear-day,,,0.0,0.0,,,Clear,25.18,1420120800,,6.216,350.0,,11.39
17.98,,-0.66,0.35,clear-day,,,0.0,0.0,,1031.51,Clear,23.29,1420124400,,6.216,342.0,,4.03
10.88,,-0.38,0.34,clear-night,,,,,snow,,Clear,23.99,1420128000,0.0,6.216,350.0,,16.1
9.97,,7.79,0.69,clear-night,,,,,snow,,Clear,16.26,1420135200,0.0,,341.0,,3.95
14.75,,8.85,0.77,clear-night,,,,,snow,,Clear,14.75,1420146000,0.0,,341.0,,2.63
10.45,0.51,10.56,0.76,partly-cloudy-night,,,,,snow,,Mostly Cloudy,16.68,1420070400,0.0,,0.0,,3.95
4.24,0.38,8.39,0.78,partly-cloudy-night,,,,,snow,,Partly Cloudy,14.02,1420081200,0.0,,0.0,,6.57
2.59,0.18,5.65,0.73,partly-cloudy-night,,,,,snow,,Partly Cloudy,12.65,1420092000,0.0,,0.0,,6.57
17.92,0.18,9.29,0.68,partly-cloudy-day,,,,,snow,,Partly Cloudy,17.92,1420102800,1.0,,71.0,,2.63
10.09,,-2.21,0.32,clear-day,,,0.0,0.0,,,Clear,23.38,1420106400,,6.216,11.0,29.98,16.1
12.86,,-2.21,0.3,clear-day,,,0.0,0.0,,,Clear,25.18,1420110000,,6.216,11.0,,14.99
14.82,,-3.98,0.26,clear-day,,,0.0,0.0,,1030.29,Clear,26.19,1420113600,,6.216,20.0,,13.42
17.35,,-0.38,0.3,clear-day,,,0.0,0.0,,,Clear,26.98,1420117200,,6.216,350.0,,10.29
14.52,,-2.21,0.3,clear-day,,,0.0,0.0,,,Clear,25.18,1420120800,,6.216,350.0,,11.39
17.98,,-0.66,0.35,clear-day,,,0.0,0.0,,1031.51,Clear,23.29,1420124400,,6.216,342.0,,4.03
10.88,,-0.38,0.34,clear-night,,,,,snow,,Clear,23.99,1420128000,0.0,6.216,350.0,,16.1
9.97,,7.79,0.69,clear-night,,,,,snow,,Clear,16.26,1420135200,0.0,,341.0,,3.95
14.75,,8.85,0.77,clear-night,,,,,snow,,Clear,14.75,1420146000,0.0,,341.0,,2.63
13.08,0.13,8.07,0.8,partly-cloudy-night,,,,,snow,,Partly Cloudy,13.08,1420156800,0.0,,0.0,,2.63
5.37,,7.3,0.78,clear-night,,,,,snow,,Clear,12.95,1420167600,0.0,,341.0,,4.48
13.05,0.35,8.01,0.8,partly-cloudy-night,,,,,snow,,Partly Cloudy,13.05,1420178400,0.0,,341.0,,2.63
4.3,0.19,-2.21,0.47,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,14.36,1420182000,0.0,6.216,350.0,,6.93
6.51,0.19,-0.38,0.47,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,16.19,1420185600,1.0,6.216,350.0,,6.93
17.01,0.19,5.37,0.6,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,17.01,1420189200,1.0,6.216,0.0,,2.24
28.77,0.19,5.03,0.36,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,28.77,1420192800,2.0,6.216,300.0,,2.24
34.14,0.19,6.78,0.31,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,34.14,1420196400,2.0,6.216,,,0.0
37.93,0.21,11.3,0.33,partly-cloudy-day,,,0.0,0.0,,1030.12,Partly Cloudy,37.93,1420200000,1.0,6.216,,,0.0
35.96,0.19,10.41,0.34,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,35.96,1420203600,1.0,6.216,240.0,,1.11
35.96,0.19,10.41,0.34,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,35.96,1420207200,0.0,6.216,,,0.0
30.21,0.19,12.49,0.47,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,30.21,1420210800,0.0,6.216,300.0,,0.65
22.49,,17.76,0.82,clear-night,,,,,snow,,Clear,22.49,1420221600,0.0,,341.0,,2.63
20.95,0.73,17.23,0.85,partly-cloudy-night,,,,,snow,,Mostly Cloudy,20.95,1420232400,0.0,,341.0,,2.63
20.7,0.88,17.07,0.86,cloudy,,,,,snow,,Overcast,20.7,1420243200,0.0,,341.0,,2.63
17.76,0.88,19.13,0.88,cloudy,,,,,snow,,Overcast,22.14,1420254000,0.0,,50.0,,3.25
18.75,0.95,21.7,0.89,cloudy,,,,,snow,,Overcast,24.51,1420264800,0.0,,20.0,,4.57
23.12,,19.4,0.73,clear-day,,,0.0,0.0,,,Clear,26.98,1420272000,,6.216,311.0,,3.36
