apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
1.14,,12.9,0.79,clear-night,,,,,snow,1031.11,Clear,18.43,1420070400,0.0,,41.0,,23.04
-2.4,,12.03,0.77,clear-night,,,,,snow,1031.28,Windy,18.08,1420081200,0.0,,41.0,,34.46
17.76,,6.52,0.61,clear-night,,,0.0,0.0,,,Clear,17.76,1420084800,0.0,,,0.0,0.0
-5.35,,10.98,0.8,clear-night,,,,,snow,1032.7,Windy,15.93,1420092000,0.0,,41.0,,34.46
15.43,0.38,10.19,0.62,partly-cloudy-day,,,0.0,0.0,,1035.2,Partly Cloudy,21.22,1420102800,1.0,,353.0,4.15,4.15
26.78,,11.3,0.52,clear-day,,,0.0,0.0,,,Clear,26.78,1420106400,,,,4.0,0.0
27.79,,11.3,0.49,clear-day,,,0.0,0.0,,,Clear,27.79,1420110000,,,,1.0,0.0
22.84,,10.77,0.49,clear-day,,,0.0,0.0,,1033.11,Clear,27.22,1420113600,,,55.0,3.77,3.77
27.79,,9.91,0.46,clear-day,,,0.0,0.0,,,Clear,27.79,1420117200,,,,0.0,0.0
26.78,,10.9,0.51,clear-day,,,0.0,0.0,,,Clear,26.78,1420120800,,,,0.0,0.0
23.79,,7.56,0.49,clear-day,,,0.0,0.0,,1032.19,Clear,23.79,1420124400,,,41.0,4.99,2.09
22.81,,8.07,0.53,clear-night,,,0.0,0.0,,,Clear,22.81,1420128000,0.0,,0.0,2.99,2.01
21.81,,8.74,0.57,clear-night,,,0.0,0.0,,,Clear,21.81,1420131600,0.0,,,0.0,0.0
21.55,,8.49,0.57,clear-night,,,0.0,0.0,,1032.13,Clear,21.55,1420135200,0.0,,41.0,1.84,1.84
20.79,,8.15,0.58,clear-night,,,0.0,0.0,,,Clear,20.79,1420138800,0.0,,,0.0,0.0
19.76,,7.98,0.6,clear-night,,,0.0,0.0,,,Clear,19.76,1420142400,0.0,,,0.0,0.0
18.53,,6.61,0.59,clear-night,,,0.0,0.0,,1033.52,Clear,18.53,1420146000,0.0,,41.0,1.84,1.84
17.76,,6.52,0.61,clear-night,,,0.0,0.0,,,Clear,17.76,1420149600,0.0,,,0.0,0.0
1.14,,12.9,0.79,clear-night,,,,,snow,1031.11,Clear,18.43,1420070400,0.0,,41.0,,23.04
-2.4,,12.03,0.77,clear-night,,,,,snow,1031.28,Windy,18.08,1420081200,0.0,,41.0,,34.46
17.76,,6.52,0.61,clear-night,,,0.0,0.0,,,Clear,17.76,1420084800,0.0,,,0.0,0.0
-5.35,,10.98,0.8,clear-night,,,,,snow,1032.7,Windy,15.93,1420092000,0.0,,41.0,,34.46
15.43,0.38,10.19,0.62,partly-cloudy-day,,,0.0,0.0,,1035.2,Partly Cloudy,21.22,1420102800,1.0,,353.0,4.15,4.15
26.78,,11.3,0.52,clear-day,,,0.0,0.0,,,Clear,26.78,1420106400,,,,4.0,0.0
27.79,,11.3,0.49,clear-day,,,0.0,0.0,,,Clear,27.79,1420110000,,,,1.0,0.0
22.84,,10.77,0.49,clear-day,,,0.0,0.0,,1033.11,Clear,27.22,1420113600,,,55.0,3.77,3.77
27.79,,9.91,0.46,clear-day,,,0.0,0.0,,,Clear,27.79,1420117200,,,,0.0,0.0
26.78,,10.9,0.51,clear-day,,,0.0,0.0,,,Clear,26.78,1420120800,,,,0.0,0.0
23.79,,7.56,0.49,clear-day,,,0.0,0.0,,1032.19,Clear,23.79,1420124400,,,41.0,4.99,2.09
22.81,,8.07,0.53,clear-night,,,0.0,0.0,,,Clear,22.81,1420128000,0.0,,0.0,2.99,2.01
21.81,,8.74,0.57,clear-night,,,0.0,0.0,,,Clear,21.81,1420131600,0.0,,,0.0,0.0
21.55,,8.49,0.57,clear-night,,,0.0,0.0,,1032.13,Clear,21.55,1420135200,0.0,,41.0,1.84,1.84
20.79,,8.15,0.58,clear-night,,,0.0,0.0,,,Clear,20.79,1420138800,0.0,,,0.0,0.0
19.76,,7.98,0.6,clear-night,,,0.0,0.0,,,Clear,19.76,1420142400,0.0,,,0.0,0.0
18.53,,6.61,0.59,clear-night,,,0.0,0.0,,1033.52,Clear,18.53,1420146000,0.0,,41.0,1.84,1.84
17.76,,6.52,0.61,clear-night,,,0.0,0.0,,,Clear,17.76,1420149600,0.0,,,0.0,0.0
16.81,,5.91,0.62,clear-night,,,0.0,0.0,,,Clear,16.81,1420153200,0.0,,,0.0,0.0
16.63,,5.89,0.62,clear-night,,,0.0,0.0,,1033.23,Clear,16.63,1420156800,0.0,,41.0,2.09,2.09
