,Location,Model,MAE
0,centar,lasso,18.189139228254046
1,centar,enet,18.179280076707574
2,centar,gboost,19.957723999023436
3,centar,xgboost,18.886125181958064
4,centar,stacked_model_with_lgboost_meta,19.158236582451064
5,gazibaba,lasso,17.88513700423406
6,gazibaba,enet,17.887506347064424
7,gazibaba,gboost,19.703737386067708
8,gazibaba,xgboost,16.93175194928932
9,gazibaba,stacked_model_with_lgboost_meta,22.745623072906355
10,karpos,lasso,20.281847671708977
11,karpos,enet,20.30191013411402
12,karpos,gboost,25.35369281768799
13,karpos,xgboost,20.798563617353715
14,karpos,stacked_model_with_lgboost_meta,26.328472459642672
15,kicevo,lasso,14.776424410104353
16,kicevo,enet,14.76952965536164
17,kicevo,gboost,17.118632464938692
18,kicevo,xgboost,15.911956138946406
19,kicevo,stacked_model_with_lgboost_meta,18.537446032817716
20,kumanovo,lasso,30.51682465884073
21,kumanovo,enet,30.52626330140667
22,kumanovo,gboost,25.303805923461915
23,kumanovo,xgboost,20.31092325585998
24,kumanovo,stacked_model_with_lgboost_meta,24.295940327599023
25,lisice,lasso,16.421052682061756
26,lisice,enet,16.418271879020086
27,lisice,gboost,18.43890844980875
28,lisice,xgboost,17.510844358130154
29,lisice,stacked_model_with_lgboost_meta,24.31374437280378
30,miladinovci,lasso,19.33003123855452
31,miladinovci,enet,19.31011792362841
32,miladinovci,gboost,20.12921078999837
33,miladinovci,xgboost,18.438025958293675
34,miladinovci,stacked_model_with_lgboost_meta,29.08502147516888
35,tetovo,lasso,22.91278669619251
36,tetovo,enet,22.850391438752446
37,tetovo,gboost,19.254449590047205
38,tetovo,xgboost,21.296196736358514
39,tetovo,stacked_model_with_lgboost_meta,18.506817887078462
