,Location,Model,MAE
0,centar,kernel_ridge,18.343495871814618
1,centar,svr,19.08307330945015
2,centar,tree_regressor,13.696210000000002
3,centar,forest_regressor,24.37889780789451
4,centar,mlp_regressor,20.147787368963954
5,gazibaba,kernel_ridge,18.041659606701483
6,gazibaba,svr,21.460216646635512
7,gazibaba,tree_regressor,61.86533333333338
8,gazibaba,forest_regressor,20.881628417261513
9,gazibaba,mlp_regressor,14.896126866607469
10,karpos,kernel_ridge,19.564139629219365
11,karpos,svr,19.592438255472402
12,karpos,tree_regressor,26.759011666666666
13,karpos,forest_regressor,24.772167118096174
14,karpos,mlp_regressor,16.946744720107993
15,kicevo,kernel_ridge,16.783346668405766
16,kicevo,svr,13.848505216793209
17,kicevo,tree_regressor,30.96478111111112
18,kicevo,forest_regressor,16.869938120389534
19,kicevo,mlp_regressor,16.934159946261286
20,kumanovo,kernel_ridge,20.91105628067383
21,kumanovo,svr,19.788828295424707
22,kumanovo,tree_regressor,44.38866333333335
23,kumanovo,forest_regressor,23.344890641143156
24,kumanovo,mlp_regressor,73.38859239047159
25,lisice,kernel_ridge,23.591636017994002
26,lisice,svr,27.323449798318173
27,lisice,tree_regressor,73.19433333333336
28,lisice,forest_regressor,18.23134327929762
29,lisice,mlp_regressor,17.717832945261765
30,miladinovci,kernel_ridge,17.408213080427178
31,miladinovci,svr,20.65988530029251
32,miladinovci,tree_regressor,18.829885555555563
33,miladinovci,forest_regressor,19.242145069564934
34,miladinovci,mlp_regressor,19.719034676567258
35,tetovo,kernel_ridge,22.06716177621378
36,tetovo,svr,32.27105862622278
37,tetovo,tree_regressor,31.335555555555562
38,tetovo,forest_regressor,14.959033512649563
39,tetovo,mlp_regressor,34.98944315682366
