,Location,Model,MAE
0,centar,lasso,17.702606220416726
1,centar,enet,17.70213081512934
2,centar,gboost,18.252502950032554
3,centar,xgboost,15.689601532660364
4,centar,stacked_model_with_lgboost_meta,20.45445746495417
5,gazibaba,lasso,15.725608865560016
6,gazibaba,enet,15.733687822633238
7,gazibaba,gboost,19.95464719136556
8,gazibaba,xgboost,15.294411544101186
9,gazibaba,stacked_model_with_lgboost_meta,18.070065540361874
10,karpos,lasso,21.070511178248626
11,karpos,enet,21.073079369560975
12,karpos,gboost,21.037465858459473
13,karpos,xgboost,18.301828208019355
14,karpos,stacked_model_with_lgboost_meta,21.43442411518038
15,kicevo,lasso,12.033322542564118
16,kicevo,enet,12.035663718280182
17,kicevo,gboost,15.465949238671199
18,kicevo,xgboost,13.264374020709777
19,kicevo,stacked_model_with_lgboost_meta,16.735843781559492
20,kumanovo,lasso,25.490457650033093
21,kumanovo,enet,25.45897034455173
22,kumanovo,gboost,15.858992513020834
23,kumanovo,xgboost,13.617053991168131
24,kumanovo,stacked_model_with_lgboost_meta,18.643667671640245
25,lisice,lasso,17.83767460239125
26,lisice,enet,17.840178163834
27,lisice,gboost,19.491969744364415
28,lisice,xgboost,19.867629470401813
29,lisice,stacked_model_with_lgboost_meta,24.937193916704093
30,miladinovci,lasso,18.292964536157342
31,miladinovci,enet,18.2787999513021
32,miladinovci,gboost,19.706173451741538
33,miladinovci,xgboost,19.051887910682996
34,miladinovci,stacked_model_with_lgboost_meta,23.59161381984858
35,tetovo,lasso,22.842906063701097
36,tetovo,enet,22.841151555148503
37,tetovo,gboost,19.266012636820474
38,tetovo,xgboost,18.47589265972299
39,tetovo,stacked_model_with_lgboost_meta,19.371476529452153
