,Location,Model,MAE
0,centar,kernel_ridge,13.445131224910835
1,centar,svr,13.139568256261521
2,centar,tree_regressor,13.233333333333336
3,centar,forest_regressor,14.97436702759825
4,centar,mlp_regressor,21.811843681563996
5,gazibaba,kernel_ridge,12.965471940951977
6,gazibaba,svr,17.98300426375848
7,gazibaba,tree_regressor,20.366666666666667
8,gazibaba,forest_regressor,16.949291433905543
9,gazibaba,mlp_regressor,12.237412867517618
10,karpos,kernel_ridge,15.359751905480646
11,karpos,svr,13.507570843278943
12,karpos,tree_regressor,25.801066666666664
13,karpos,forest_regressor,17.432496388887625
14,karpos,mlp_regressor,24.179108041946034
15,kicevo,kernel_ridge,20.70737219198928
16,kicevo,svr,14.931636584714834
17,kicevo,tree_regressor,32.67966666666668
18,kicevo,forest_regressor,18.625778357912328
19,kicevo,mlp_regressor,13.182456080443282
20,kumanovo,kernel_ridge,13.339157469062567
21,kumanovo,svr,12.293283614397355
22,kumanovo,tree_regressor,13.585333333333331
23,kumanovo,forest_regressor,14.921113035325947
24,kumanovo,mlp_regressor,51.54977461119013
25,lisice,kernel_ridge,44.182309658562524
26,lisice,svr,34.37803515456962
27,lisice,tree_regressor,44.750000000000014
28,lisice,forest_regressor,25.881381586694406
29,lisice,mlp_regressor,22.723559633778667
30,miladinovci,kernel_ridge,17.431437583144454
31,miladinovci,svr,19.286328223582554
32,miladinovci,tree_regressor,24.63888888888889
33,miladinovci,forest_regressor,16.05866643254624
34,miladinovci,mlp_regressor,22.24645525746924
35,tetovo,kernel_ridge,22.18976453454624
36,tetovo,svr,32.54243342921422
37,tetovo,tree_regressor,18.500000000000007
38,tetovo,forest_regressor,15.55837919992189
39,tetovo,mlp_regressor,20.096401981106663
